,comment,rate
37458,"برای مقابله با وسوسه های نا امید کننده شیطان.
اینکه مث شهید عزیز یاد بگیریم با شیطان اوتی رفتار کنیم خیلی خوبه.
یاد میگیری چجوری محکم بزنی تو دهن وسوسه ها.",1.0
9327,این بدین معنیست که این تبلت مانند گوشی Xperia Play توانایی اجرای بازی های PlayStation را توسط برنامهء شبیه ساز خود،  دارد.,0.5
38876,گوینده عالی بود👌,1.0
6718,بسیار خوب، ST68 کمی گران قیمت تر است که به دلیل سنسور تصویر با رزولوشن دو مگاپیکسل بیشتر آن می باشد.,-0.5
5049,سلام از سايت خوبتون ممنون به نظر من اين دوربين براي کسي که ميخواد عکاسي رو در سطح پيشرفته آغاز کنه عاليه بعد از 60D بهترين گزينست دوربين جديد کنن 650D، به نظرم الان با صرفه نيست که اون دوربين رو بخريم چون تازه اومده قيمتش بالاست,1.0
3808,همچنین یک فلاش بالا جهنده نیز در بالای آن وجود دارد که بتوانید در فقدان نور هم عکاسی کنید.,0.5
27210,خیلی ملموس و واقعی بود. نثر گیرا‌ و ساده ای داشت.,1.0
7973,درخواست نوشابه سفید شده بود که مشکی ارسال گردید. ساندویچ را بدون پیاز سفارش داده بودم که توش پر پیاز بود.,1.0
1992,"مثلا دوست من براي اين گوشي  قاب محافظ  نخريده بود پس از استفاده ي يک ماهه
پشت گوشي خش هايي ديده ميشد  و اما يک فرد ميتونه يک ماه صبر کنه تا دو گوشي  قدرتمند تر و با
دوربين بهتر يعني LG Optimus G E973 وAsus PadFone 2 با قيمت کمتر تهيه کنه.",0.0
3543,جمع بندیدر کل، اصلی‌ترین خصوصیت گوشی جدید استایلیش کمپانی ال‌جی یعنی Optimus L7 II Dual P715، پشتیبانی آن از دو سیم کارت سیستم عامل به روز آن یعنی نسخه 4.1 اندروید به شمار می‌رود.,0.5
48045,"بسیار بسیار ضعیف کار شده
انقدر اطلاعات نویسنده پایین بوده که برای پر کردن متن کتاب فقط از بخش های قبلی Copy و در فصل جدید Paste کرده تا بشه بهش بگی کتاب!",-0.6
9497,صفحه نمایش صفحه نمایش 3.5 اینچی این گوشی دارای رزولوشن HVGA است همچنین تراکم پیکسلی این گوشی 165 پیکسل در هر اینچ است.,0.0
5585,خیلی چربی ریختین توش. یه مقدار گوشتم مصرف کنین تو رو خدا,1.0
16818,پک سبزی کاملا مانده بود. مرع خوب پخته و سرخ نشده بود,1.0
6564,کيفيتش دوربينش خيلي خوب نيست مخصوصا وقتي که خش مي ٱفته..,-0.5
100763,"من قبلاً spf30 مخصوص آقایان آردن داشتم خیلی خوب بود
اما این یکی روی پوست خوب پخش و جذب نمیشه و لک های سفید باقی میذاره 
من راضی نبودم",-0.4
63616,مخلفات ساندویچ با چیزی که در منو ذکر شده بود متفاوت بود. طعم خوبی هم نداشت,1.0
37010,به نظر من داستان ناتمام ماند.... سرنوشت بچه....,0.2
36582,کتاب جذابیه👌,1.0
375,بازه ای که در آن نوت‌بوک های فوق‌العاده ای مانند سونی سری EH قرار دارند.,0.0
11521,اگر ديجي کالا بياره اولين نفر من سفارش ميدم ..,0.5
129076,بسیار خوش فرم و با کیفیت,-1.0
33047,قشنگ بود ..ولی دوست داشتم پایانش طور دیگه ایی باشه و این ذهنم و بیش از حد درگیر کرد👌👌👌👌,1.0
136457,"من این هدفون رو به عنوان کادو برای پدرم خریداری کردم 
نسبت به قیمتش خوب بود 
توی گوش به خوبی جا میگیره 
فقط مدت زمان نگهدارب باتریش نسبت به رقبا یکم کمتره",-1.0
36815,اجرای نه چندان دلچسب و خسته کننده و ادیت بد فایل صوتی,-0.2
152311,"این مدل اصلا سایز نوکیا ۸ نیست
کناره ها باریکه کامل صفحه رو پوشش نمیده",-0.6
42675,من که خیلی خوشم اومد، امیدوارم شما هم از خوندنش لذت ببرید,1.0
2505,یکی دیگر از تحولات داخلی صورت گرفته، پشتیبانی از شبکه‌ی وایرلس می‌باشد.,0.5
69461,از دی جی انتظار نداشتم که این محصول بی کیفیت رو معرفی کنه،عکس بزرگ ولی گوشواره کوچیک و زشت,0.1999999999999999
3312,به نسبت قيمت کارايي بسيار بالا ظاهر بسيار مناسبي داره.,0.5
51451,دیگه داره لوس میشه,0.2
5117,در کل ۳۶۰ کنسول بسيار خوبي براي بازي کردن و فيلم ديدن (نه از روي بلوري) با کيفيت HD است و با دستگاه جديد همراه ۳۶۰ (Kinect) که در E3 امسال معرفي شدند و کابرد هاي بسياري را در اختيار مي گذارد انتخاب خوبي براي خريد است.,1.0
4582,رنگ‌ها بسیار زنده طبیعی بوده، نویز تصویر بسیار کم است حتی با وجود اینکه دوربین این تبلت دارای فلاش نیست، کیفیت عکس‌های گرفته در فضاهای تاریک به لطف سنسور قدرتمند فراخی دیافراگم بالای آن، بسیار خوب است.,1.0
171764,من هنوز این گوشی رو خریداری نکردم ولی تحقیقات زیادی روش انجام دادم واقعا گوشی عالی هستش تو دومین ماه بهار خودم میخوام خریداری کنم .یرای کسایی که قبلا گوشی اندرویدی داشتن والان میخوان اپل بخرن یه کمی اولاش کارکردن باهاش سخته ولی بعدا از کار کردن باهاش لذت میبری این گوشی همه چی تموم و قیمتشم به کیفیتش می ارزه ممنونم از این که  نظر منو خوندید,0.8200000000000001
11492,باید بگوییم که صفحه نمایش این تبلت برای کارایی‌های آن مناسب و کافیست.,0.5
127372,واقعا مقرون به صرفه ست,0.6000000000000001
3190,سرعت فرستادن اطلاعات در ايپد بيشتر است چون نسخه بلوتوث 4 است دوربين:دوربين اين تبلت 8mgp است ولي کيفيت دوربين به اين نيست بلکه به لنز ان است.,0.0
3155,اميدوارم نسخه تک سيمکارته اين گوشي که شارژ بيشتري نگه ميدارد آنهم در رنگ هاي متنوع مخصوصاً سفيد وارد کشور شود.,0.5
149728,قیچی زیبایی هست هنوز استفاده نکردم اما خوش ساخت و خوب,0.1999999999999999
38879,"بسیار عطر عالی هست. من مدل 77 رو دارم و میشه گفت بسیار جذابه.از نظر فوق العاده بودن میشه گفت همتراز کرید اونتوس هست و یه سر و گردن از  بلوچنل و تام فورد بالاتره.
البته مقایسه من با این ادکلن ها از این جهت بود که از این برند ها استفاده کردم.",0.76
11292,همبرگر انگار از یخچال در اومده. سرد سرد,1.0
25280,"واقعا تجمل گرایی مثل یک ویروس عمل می کند
صفحه ۸ روزنامه",1.0
23320,غذا سرد بود و طبق نوشته سس مخصوصی تو ساندویچ نبود و فقط سس تک نفره کنار ساندویچ گذاشته شده بود,1.0
65871,حجم کمتر از یک کیلو بود ولی کیفیت مطلوب داشت و خوش خوداک بود,-1.0
28733,"به شدت جذاب، فوق العاده و کاملااا غیرقابل پیش بینی. بهترین نمایشنامه ایه که تا به امروز خوندم. تمام طول کتاب اتفاقاتی میفته که هرگز قابل تصور و پیش بینی نیستن. حیرت انگیزه. 
حرفی از داستانش نمیزنم چون باعث میشه اسپویل بشه.فقط میگم این کتابو نباید از دست داد!",1.0
3875,تاچش حرف نداره.,1.0
2379,از طرفي معتاد سريال هستم بسيار اهل بازي، وبلاگ هم مينويسم، از طرفداراي برند اسوس هم هستم (دقت کنين تلفظ ايسوس غلطه!,0.5
6691,ممنون digikala,0.5
5532,بدنه خارجی فلزی آن، کیفیت ساخت فوق العاده بالای آن را مشخص می کند حتی با وجود بزرگ بودن گوشی، به لطف منحنی موجود در پشت آن وزن مناسب آن، به راحتی در دست جای میگیرد حس خوبی را به شما القا می کند.,1.0
29344,من که خیلی دوست داشتم,-1.0
5800,يکي ديگه از ايراداشم جاي دست (اثر انگشت روي بدنش ميمونه!,-0.5
151297,"سلام دوستان
من این گوشیو برا نامزدم گرفتم فوق العاده خوش دسته!تراکم بالای صفحش عالیه و دوربینش خیلی فراتر از هم سطح های خودشه!
مشکلش ساپورت نکردن 4g و تک سیم بودنشه !
تقریبا 3 ماهه استفاده کرده و مشکل خاصی ازش ندیده!پیشنهاد میکنم بخرید و پشیمون نمیشید",0.1999999999999999
27342,ممنون.. ب موقع و خوب,-1.0
15533,صفحه نمایش پیش از عرضه Infinity،  تبلت Transformer Prime بهترین کیفیت صفحه نمایش را در بین تبلت های اندرویدی داشت ولی Infinity با بهره گیری از یک صفحه نمایش Full HD با دقت 1920x1200،  روشنایی بیشتر و رنگ‌های طبیعی‌تر،  توانست تخت پادشاهی را از Prime بگیرد.,1.0
16064,عالی درست مثل همیشه,-1.0
17026,غذا مثل همیشه خوشمزه بود فقط ایندفعه روغنش زیاد شده بود,-1.0
104457,واقعا عالیه.از هر نظر خوبه,0.7
46339,خوبه دنبال همچین کتابی بودم,1.0
342,• ورودی‌ها و خروجی‌ها از لحاظ تعداد و نوع پورت‌ها،  سری G580 بسیار کامل است.,1.0
12288,داستانش خیلی ملموس وروان بود به طوری که ادمو جذب می کرد که تا تمام نشه دست ارخواندن برنداره ولی بعضی قسمتاش با واقعیت تناسب نداشت اینکه یک پزشک متخصص نتونه با گوشی اندروید کار کنه ادمو یاد خانم های بی سواد خانه دار میندازه واینکه وضع مالی خوبی نداشته باشه!!,0.2
5590,همه چیز خوب، فقط نی نگذاشته بودید,-1.0
9963,به موقع رسید ولی پیتزا با توجه به قیمتش هیچی نداشت فقط خمیر بود با دو سه تا سوسیس و کالباس. در حالی که قیمتش نزدیک ۵۰ تومن بود.,-1.0
3523,دومین تغییر مهم در این دوربین به کار گیری پردازشگر تصویر DIGIC بوده است.,0.5
12378,این سخت افزار،  برای اجرای اکثر دستورات کاربر کافیست.,0.5
161821,سلام نخرید ارزش خریدن نداره.,-0.2199999999999999
10301,به نظر من اين دوربين با اين قيمتي که داره اصلا امکانات فراواني نداره.,-0.5
18672,شانس آوردم اینا رو تو ارزونی واسه گیمنتم خریدم!! وگرنه با 20 تومن وام فقط میتونستم همین 4 تا دستگاه رو بخرم واسه مغازه!! اون موقع من 1.700 خریدم همین مدلو. قیمت قبلا کجا و الان کجا!! هی دلاااارررر,0.1999999999999999
23139,کیفیت غذا نسبت به قیمت کاملا معمولی بود من با همین قیمت‌ها یا بعضا ارزانتر کیفیت بسیار مطلوب‌تر تجربه کردم ولی در کل قابل قبول بود شاد و پیروز باشید,-1.0
1836,برای گفتن جزئیات تمامی تغییرات عملکرد های iOS نیاز به نوشتن یک نقد بررسی جداگانه می‌باشد.,0.0
73,اما اتوران گردو بدون نیاز به هرگونه پیش‌نیاز، هیچ کدام از این مشکلات را نخواهد داشت.,0.0
106438,نیم تنه خوبیه واسه باشگاه و ورزش کاربردیه.پیشنهاد میکنم.,0.1999999999999999
66103,همه چی عالی بود فقط تایم آماده سازی و ارسال ۵۰ دقیقه زیاده برای ما که فاصلمون پیاده ۱۰ دقیقه هستش درکل عالی بود,-1.0
13176,"برای من که عالی بود
 دانشگاهم که تموم شد دوباره میخونمش",1.0
4195,این دوربین توانایی عکاسی پیاپی با سرعت 10 فریم بر ثانیه را نیز دارد که باز هم فوق العاده است.,1.0
12272,بدین ترتیب که مثلا اگر دوربین را بر روی مود SR Auto قرار دهید،  به یک دوربین کاملا خودکار در عکاسی تبدیل می‌شود،  کافیست که آن را به سوی سوژه نشانه بروید و دکمه‌ی شاتر را بفشارید تا دوربین خود به صورت هوشمند نوع صحنه،  شرایط نوری،  نقاط فوکوس و دیگر پارامترها را تشخیص دهد و همه‌ی تنظیمات را بر روی بهترین حالت قرار دهد تا بهترین و با کیفیت ترین عکس تولید شود.,1.0
10170,در ضمن،  این دوربین قابلیت فیلم برداری با کیفیت HD با سرعت 30 فریم بر ثانیه را نیز داراست.,0.0
78015,یه هفته است از زمان دریافت محصول گذشته هنوز نرسیده,0.1999999999999999
28833,بهترین و فوق‌العاده ترین کتابی که در تموم زندگیم خوندم,1.0
130677,"گوشی رو داغ میکنه
مدلش هم اینجوری نیست متفاوته

کیفت پایین اصلا توصیه نمیشه",-0.74
56247,نان برگر کاملا خیس بود غذا فشرده و له بود دیگر هیچ وقت از برگرلند سفارش نخواهم داد.,1.0
5467,به روز رسانی: کیفیت عکس های گرفته شده توسط X-Pro1 در حد فوق العاده باور نکردنی است.,1.0
44348,بسیار خوشمزه بود فقط روغن خورشت کمی زیاد بود ممنون,-1.0
59032,خیلی بد ....نخونید ... هیچ کس اینقد سنگدل نیست,-0.6
3286,به طوری که می‌توان گفت در این زمینه، اکنون بی رقیب به نظر می‌رسد.,0.5
133379,نسبت به قیمت خوبه با عالی ولی میتونست بهتر از این باشه,-0.28
78,این کتاب فراتر از خوبه  به نظرم همه باید یه بارم که  شده بخوننش,1.0
15203,ماست که فراموش کردند بفرستند. اون چیزی که فرستادند متفاوت از چیزی بود که نوشته بودند,1.0
72,آندرويد جينجربرد روش خوب کار ميکنه اما وقتي تبديلش کنيد با آندرويد يه کوچولو مصرف باتري رو بالا ميبره.,0.0
16349,"بعد از چند ماه سیمش خراب شد
ولی خیلی  خنک می کنه
اصلا داغ نمی شه دستگاهت",0.2199999999999999
64179,خوب بود ولی انتشارات آوا رسا به پای ماه اوا نمیرسه,0.2
56891,کتاب فوق العاده ایی هست فقط ای کاش رایگان بود,0.6
1580,من ک اصلا دوسش نداشتم یه پسر ک از همه چی و همه کس متنفره از اولشم داره فحش میده میدونم ک از چه لحاظ میگن خوبه ولی من اصلا خوشم نیمد,-1.0
63117,روغن خوبی بود و,0.3600000000000001
123384,من این محصولو پنج روز پیش سفارش دادم متاسفانه هنوز به دستم نرسیده مگه با پست پیشتاز نباید زود برسه؟کسی میدونه باید چجوری پیگیری کنم؟اگه باید خودم برم از اداره پست تحویل بگیرم پس چرا هزینه پست پیشتاز از آدم میگیرن؟,0.1999999999999999
22864,افتضاح چرت!!!!!,-0.6
5557,من همیشه این غذا رو از همین رستوران مى گیرم، طعمش خیلى افت کرده بود.,1.0
4306,با عرض سلام و خسته نباشي به دست اندرکاران ديجي کالا.,0.0
65202,بستنی‌ها کاملا آب شده بود کلا قابل خوردن نبود.,1.0
80392,مرطوب کنندگی خوبی داره، حجم و مدل قوطی کرم هم خیلی خوبه,-1.0
35413,سبک علمی-تخیلی بود. تا اواسط کتاب یکم کسل کننده و کند پیش میرفت ولی در کل تمام وقایع منظم و زنجیروار اتفاق میفته. پایان داستان من رو یاد پایان جنگ جهانی دوم و گیر افتادن نازی ها در سرمای روسیه انداخت. با اینکه کتاب سالها قبل از جنگ جهانی دوم نوشته شده.,0.2
111348,سایز ۴۱ کی موجود میشه؟,1.0
1619,در اولين فرصت يکي ميخرم.,0.0
25587,بدک نبود,1.0
43362,سفارش‌ها دقیق و تازه و بسیار زود رسید ممنون از شما,-1.0
38400,قشنگ بود,1.0
616,به قول دوستمون ديجي کالا يک e bay در سطح مليه که رو دستش نيومده .,0.5
2503,بر خلاف مدل 10.1 اینچی پیشین که قابلیت پخش ویدئوهای Full HD 1080p را نداشت، GALAXY Tab 10.1 به لطف پردازنده قوی‌تر می‌تواند این ویدئوها را به راحتی بدون هیچ‌گونه کاهش سرعتی پخش کند.,0.5
59924,عالی,0.6
3185,من ار ديجي کالا گرفتم، حافظه 2گيگ هم رو گوشي داره امکان نگارش فارسي رو هم داره خلاصه من که پشيمون نيستم,0.5
12434,اصلا به توضیحات سفارش توجه نمیکنند! یک بسته نون ارزشی نداره و چیزی ازتون کم نمیشه.,1.0
2135,مودهای عکاسی که از طریق پیچ تنظیم می‌توانند انتخاب شوند واقعا متنوع هستند.,0.5
13609,رابط کاربری دوربین کاملا تغییر کرده است و با حرکت دادن انگشت دست بر روی صفحه نمایش،  می‌توان تنظیمات مربوط به دوربین را تغییر داد.,0.0
3558,ممنون DigiKala,0.5
2456,"دیشب به دستم رسید، نقره ایشو سفارش دادم، یکم گرون تر از بقیه رنگاش هست ولی به نظرم می ارزه، شیک تره، با هرمدل ظرف غذا خوریم هم ست میشه، 
با دیدنش کلی ذوق کردم",1.0
164152,"الف-قطعات برقی رنو کپچر،بسیار خوب و با کیفیته.در عالی بودن کپچر،همین بس که یکی از پرفروشترین خودروها در اروپا و دنیاست.پرفروشترین کراس اوور شهری در اروپا و فرانسه ست.بخاطر رنو بودنش خریدم.بخاطر ماشینهای قبلیم که رنو بودن و منو راضی نگهداشتن،خریدم.رنو به عدم خرابی معروفه.
ب-از کیفیت صندلیهای چرم رنو کپچر بسیار راضیم.برخلاف ماشینهای قبلیم،چرم صندلی کپچر،پوسته پوسته نشده،ترک نزده و پاره نشده.جنس داشبوردش خوبه.زیر گرمای شدید آفتاب و یا سرمای شدید زمستان،پوسته پوسته نمیشه و نمیشکنه.
ج-برای من ایمنی خودرو خیلی مهمه که ازین بابت رنو کپچر،کاملاً برآورده میکنه.ایمنی جانبی،با بکارگیری میله های فولادی قوی و طراحی مهندسی شده اتاق،ضربه های شدید تصادف را دفع میکند.
د-گیربکس دوکلاچه رنو کپچر،تکنولوژی بالایی داره.کمترین تأخیر را در تعویض دنده داره.به این راحتیا اصلاً خراب نمیشه.سیستم امتیازدهی اقتصادی و مصرف سوخت داره.اینکه چطوری گاز دادی و یا اینکه چطوری ترمز گرفتی.چقدر تونستی خوب و اقتصادی رانندگی کنی.
ه-رنو کپچر،ارتفاع بسیار مناسبی از سطح زمین داره.مزیتش،بغیر از موارد خارج از جاده،موقع سوار شدن روی عرشه کشتی و یا رمپ پارکینگ و سرعتگیرهای خیابانیه که اصلاً سطح زیر خودرو ، به جایی گیر نمیکنه.
و-از کشش و قدرت خوب رنو کپچر،خیلی راضی هستم.4نفری به مسافرت رفتیم.باربند کاسه ای هم گذاشتم.صندوق عقب هم بطور کامل پر بود.گردنه های جاده چالوس واقعاً کم نمیاورد.کولر هم استفاده میکردم بازم هیچ تأثیری در افت توان و کشش خودرو نداشت.",1.0
65781,خیلی دیر آوردن سرد شده بود,-1.0
2409,البته پيشنهادم به همه دوستان اينکه حتماً گوشي رو با سيم کارت رايتل تست کنن تا لذت واقعيه کارکردن با اين گوشي رو بچشن.,0.5
2599,موقع نصب کش میاد,0.1999999999999999
788,خیلی قشنگ بود کوتاه و مختصر😍,1.0
21015,بسیار عالی بود و تامل برانگیز.سپاس,1.0
15269,مواد پیتزا و کباب ترکی کم بود,1.0
9317,سفارش کیک هویج من رو با هماهنگی با کیک اتریشی جایگزین کردند. منم چون مجبور بودم پذیرفتم.,1.0
27659,من عاشق این نویسندم.فوق العادس کاراش😍😍😍,1.0
54114,فقط اونجاش که میگه آخر تمام قیل و قال دنیا خاموشیه؛پس برید دنبال خوشی و تموم...,1.0
41147,هفته‌ی‌ پیش سفارش دادم و ابعاد و اندازه نان عالی بود اما امروز به شدت نسبت به دفعه‌ی پیش ضعیف، کوچک و بی‌کیفیت بود و آخرین بار بود که سفارش دادم:),1.0
84223,نسبت به قیمت عالی است.,0.6400000000000001
5911,به خصوص اینکه؛ از نمایشگرهای LED با کیفیت بسیار بالا بهره می‌برند.,1.0
5591,یک ساعت و بیست دقیقه طول کشید و غذا سرد سرد به دستم رسید. آدرس اشتباه ثبت شده و هر بار پیک رستوران تماس میگیرد و من آدرس را میدهم!,1.0
85631,کیفیتش بسیار عالیه و قیمت بسیار مناسب نسبت به بازار,1.0
13060,غذا زود رسید. پاستا پنه با سس آلفردو سفارش دادم خیلی بدمزه بود. ولی سینه مرغ سوخاریش عالی بود,-1.0
4498,بي نظيره,1.0
219,کیبورد تاچ پدG585 همانند اکثر نوت‌بوک های لنوو، از کیبورد جزیره ای انحصاری این کمپانی به نام AccuType استفاده می‌کند.,0.0
4506,گوشي عاليه من خودم تا چند روز ديگه ميخوام بخرم تو خريدش شک نکنين,1.0
3358,مثلا به راحتی می توانید بوسیله تجهیزات استقرار مختلف؛ دوربین را به دسته دوچرخه خود، به سطح جلویی یک اسکیت برد، به یک تخته موج سواری، میله های کایت یا حتی مچ یا سینه خود متصل کنید.,0.5
147193,کیفیت خوبی داره و دقیقا شبیه عکس هست,-1.0
876,تنها موبايل با cpu 1ghz هست که قيمتش زير 300 هزار تومن هست.,0.0
20456,داغ عالی زود رسید قارچ سوخاری هاتون بهترینن,-1.0
9545,اما نسخه ی Black یا مشکی از همه جذاب تر است،  این دوربین توانایی فیلم برداری 4K را ارائه می دهد!,1.0
4947,از این جمله می‌توان به طراحی ساخت بسیار با کیفیت ارگونومیک، مودهای عکاسی حرفه ای، توانایی ضبط ویدیویی 1080p Full HD، سنسور بسیار پیشرفته با کیفیت، نمایشگر خیلی خوب از همه بهتر لنز با توانایی زوم 15 برابر اشاره کرد.,1.0
4944,مشکلي در مورد کارايي اين دوربين وجود ندارد .,0.5
145212,اصلا راضی نیستم از رنگش خیلی چرک تابه,0.1
68895,چقدر خوشحالم که کتابای هما جاااانم بالاخره تو طاقچه اومدن ،کتابااااا همشون بی نظیرن و من نسخه چاپی همشونو دارم ولی با این حال کلی واسش ذوق کردم که الکترونیکی شونم اینجا دیدم,1.0
14475,حیف نیست از ایشون فقط همین اثر؟,0.2
513,از قابلیت‌های کاربردی این سیستم عامل می‌توان به منوی مالتی تسکینگ اشاره کرد که کاربر می‌تواند با نگه داشتن کلید Back بر روی گوشی وارد این منو شود.,0.0
18144,من سوپ ویژه سفارش دادم که قیمتش ۱۸ تومن بود. وقتی رسید تعجب کردم. فقط آب بود و چند دانه جو. هیچ چیز دیگه‌ای توش نبود و بسیار آبکی و بی لعاب. دیگه سفارش نمیدم.,1.0
59935,کیفیت پایین افتضاح قهوه فرستاده معلوم نیست چیی هست حجم پایین مزه مزخرف اصلا خوب نبود,1.0
908,کمینه ی نسبت کانونی f/3.0 نیز خیلی خوب است و باعث می شود که برای نوردهی نسبتاً سریع باشد.,1.0
18700,بی نظیر بود و بسبار لذیذذ.,-1.0
5263,5ماه پيش من اين گوشي رو خريدم با اين قيمت عالي‌ترين بهترين گوشي هست که ميشه خريد CPU GHZ RAM 512 اندرويد صداي بسیار عالي دوربين 5مگاپيکسلي با ضبط فيلم HD,1.0
13822,تو اين رنج از همه بهتره.,0.5
114404,حتما در انتخاب سایز فریم دقت کنید ، من سایز فریم 20 رو خریدم و قدم 179 سانت است ولی با کمترین ارتفاع زین پایم به صورت کامل روی زمین قرار نمی گیرد و باعث عدم تعادل شما می شود ، بهتر بود سایز 18 را خریداری می کردم تا به راحتی بتوانم روی دوچرخه کنترل داشته باشم ، دوچرخه بسیار خوب و سبکی است ، دوچرخه ساخت چین است ولی مانند دوچرخه های جاینت که در تایوان ساخته می شد از متریال های خوب ساخته شده است و سبکی لذت بخشی دارد.,0.78
68054,"به شدت افتضاحه، من این کرم رو با توجه به نظراتی که تو دیجیکالا خوندم از داروخانه خریدم اما کرم خیلی بدیه
من ۳۰ سالمه و چندتا چروک زیر چشمم دارم ، برای مرطوب کردن دور چشمم و جلوگیری از چروک های بیشتر این کرم رو خریدم اما حتی این کار ساده رو هم برای من نکرد
نه تنها مرطوب نکرد بلکه باعث سوزش پوست زیر چشمم شد ، چروکهای محسوسی ایجاد کرد و همینطور باعث خشکی شدید پوستم شد در حدی که تو این چند روزی که ازش استفاده کردم باعث میشه وقتی کانسیلر میزنم دور چشمم ، پوستم رو پوسته پوسته میکنه و دونه های ریز سفید ایجاد میشه زیر چشمم",-0.5
